Fips,County name,2023 Typology,Total ,Biden ,Trump
47007,"Bledsoe County, Tennessee",Evangelical Hubs,5758,971,4725
47009,"Blount County, Tennessee",Rural Middle America,66609,17932,47369
47011,"Bradley County, Tennessee",Evangelical Hubs,45865,9851,35204
47013,"Campbell County, Tennessee",Evangelical Hubs,14933,2441,12331
47015,"Cannon County, Tennessee",Evangelical Hubs,6557,1261,5190
47017,"Carroll County, Tennessee",Evangelical Hubs,11905,2559,9205
47019,"Carter County, Tennessee",Evangelical Hubs,24492,4529,19584
47021,"Cheatham County, Tennessee",Rural Middle America,20260,5514,14438
47023,"Chester County, Tennessee",Evangelical Hubs,7584,1412,5952
47025,"Claiborne County, Tennessee",Evangelical Hubs,12945,2202,10604
47027,"Clay County, Tennessee",Evangelical Hubs,3506,735,2733
47029,"Cocke County, Tennessee",Evangelical Hubs,14859,2533,12162
47031,"Coffee County, Tennessee",Evangelical Hubs,24282,5705,17883
47033,"Crockett County, Tennessee",Evangelical Hubs,6114,1382,4673
47035,"Cumberland County, Tennessee",Evangelical Hubs,32279,6728,25168
47037,"Davidson County, Tennessee",Big Cities,309658,199703,100218
47039,"Decatur County, Tennessee",Evangelical Hubs,5241,904,4229
47041,"DeKalb County, Tennessee",Evangelical Hubs,8513,1750,6672
47043,"Dickson County, Tennessee",Rural Middle America,24323,6106,17643
47045,"Dyer County, Tennessee",Evangelical Hubs,15079,3158,11768
47047,"Fayette County, Tennessee",Working Class Country,22984,7027,15690
47049,"Fentress County, Tennessee",Evangelical Hubs,8729,1214,7441
47051,"Franklin County, Tennessee",Rural Middle America,19132,4864,13987
47053,"Gibson County, Tennessee",Working Class Country,22335,5771,16259
47055,"Giles County, Tennessee",Evangelical Hubs,13203,3298,9784
47057,"Grainger County, Tennessee",Evangelical Hubs,10134,1467,8565
47059,"Greene County, Tennessee",Evangelical Hubs,28087,5199,22259
47061,"Grundy County, Tennessee",Evangelical Hubs,5855,988,4802
47063,"Hamblen County, Tennessee",Evangelical Hubs,24631,5500,18811
47065,"Hamilton County, Tennessee",Urban Burbs,171113,75522,92108
47067,"Hancock County, Tennessee",Evangelical Hubs,2744,362,2372
47069,"Hardeman County, Tennessee",African American South,10063,4180,5760
47071,"Hardin County, Tennessee",Evangelical Hubs,11538,1775,9559
47073,"Hawkins County, Tennessee",Evangelical Hubs,24824,4083,20405
47075,"Haywood County, Tennessee",African American South,7439,4012,3343
47077,"Henderson County, Tennessee",Evangelical Hubs,12020,2092,9797
47079,"Henry County, Tennessee",Evangelical Hubs,15047,3548,11239
47081,"Hickman County, Tennessee",Evangelical Hubs,9832,2130,7577
47083,"Houston County, Tennessee",Evangelical Hubs,3686,871,2718
47085,"Humphreys County, Tennessee",Evangelical Hubs,8236,2017,6120
47087,"Jackson County, Tennessee",Evangelical Hubs,5323,1135,4118
47089,"Jefferson County, Tennessee",Evangelical Hubs,23616,4654,18651
47091,"Johnson County, Tennessee",Evangelical Hubs,7801,1246,6468
47093,"Knox County, Tennessee",College Towns,220556,91422,124540
47095,"Lake County, Tennessee",African American South,2034,526,1492
47097,"Lauderdale County, Tennessee",African American South,8965,3193,5674
47099,"Lawrence County, Tennessee",Evangelical Hubs,18718,3195,15334
47101,"Lewis County, Tennessee",Evangelical Hubs,5609,1072,4474
47103,"Lincoln County, Tennessee",Evangelical Hubs,15608,2919,12281
47105,"Loudon County, Tennessee",Rural Middle America,29347,6948,21713
47107,"McMinn County, Tennessee",Evangelical Hubs,22844,4361,18198
47109,"McNairy County, Tennessee",Evangelical Hubs,11275,1943,9093
47111,"Macon County, Tennessee",Evangelical Hubs,9487,1307,8096
47113,"Madison County, Tennessee",African American South,42950,18390,23943
47115,"Marion County, Tennessee",Evangelical Hubs,13256,3177,9911
47117,"Marshall County, Tennessee",Evangelical Hubs,14878,3605,11043
47119,"Maury County, Tennessee",Exurbs,46657,14418,31464
47121,"Meigs County, Tennessee",Evangelical Hubs,5532,1008,4467
47123,"Monroe County, Tennessee",Evangelical Hubs,20797,3764,16783
47125,"Montgomery County, Tennessee",Military Posts,76758,32472,42187
47127,"Moore County, Tennessee",Rural Middle America,3539,573,2888
47129,"Morgan County, Tennessee",Evangelical Hubs,8228,1167,6930
47131,"Obion County, Tennessee",Evangelical Hubs,13521,2589,10790
47133,"Overton County, Tennessee",Evangelical Hubs,10037,2033,7918
47135,"Perry County, Tennessee",Evangelical Hubs,3428,615,2775
47137,"Pickett County, Tennessee",Evangelical Hubs,2931,525,2381
47139,"Polk County, Tennessee",Evangelical Hubs,8360,1492,6792
