Fips,avg_real_nodes_2020,avg_network_density_2020,avg_conNodeRatio_2020,avg_block_density_2020
39101,143,20138.098307293887,0.5529838850100778,42.78968531556001
39103,98.95238095238095,12627.564569385477,0.4688123414913762,14.391462022353572
39105,424,6773.162109378333,0.4406447559595,7.533164580665
39107,875.5555555555555,6944.182671443334,0.5216435061560667,7.6939030223466665
39109,275.04347826086956,9714.81610903913,0.5381270271280653,14.18868757331261
39111,757,5022.8862304725,0.42313720285894996,3.0744771361375003
39113,123.46153846153847,26696.906825923325,0.5856311304064865,54.59923294721981
39115,555.5,4603.9686889675,0.406791746616375,3.2829044461275
39117,201.22222222222223,4494.87776693,0.44025581412846665,3.6811629136444446
39119,247.28571428571428,12698.611583894286,0.4921364642324857,23.17871697744143
39121,502.25,7642.89733887,0.360503464937225,5.9999751448675
39123,234.26666666666668,6380.149818932,0.54480931361516,9.672196265064667
39125,364,5204.749609378,0.49818492531776,4.535026311878
39127,314.3333333333333,5406.613226997778,0.4199610253175222,5.1600953473
